,*,E390,
,Gera,efbd,Gen 46:21
,Gerar,eddd,Gen 10:19
,Gerasenes,E33F,Mark 5:1
,Gershom,e0cb,Exod 2:22
,Gershon,efbe,Gen 46:11
,Geshur,e499,Duet 3:14
,Gether,edde,Gen 10:23
,Gethsemane,E34A,Matt 26:36
,Geuel,e1fb,Num 13:15
,Gezer,e42f,Josh 10:33
,Gibbethon,e500,
,Gibeah,e501,
,Gibeath_Haaraloth,e430,Josh 5:3
,Gibeon,e431,Josh 9:3
,Gideon,ed03,Judg 6:11
,Gideoni,e2bd,Num 1:11
,gift,E072,
,Gihon,eddf,Gen 2:13
,Gilead_land,efa1,Gen 31:21
,Gilead_man,e3ab,Num 26:29
,Gilgal,e432,Josh 5:9
ԉ,Giloh,509,
,Girgashites,ede1,Gen 10:16
,girl,E009,
,girls,E00A,
,Gittaim,e489,2 Sam 4:3
,give,E086,
,glass,ecde,
,glorify,e217,
,glory,E217,
,gluttony,EA8C,
,go,E381,
,go_down,E080,
,goat,EA7D,
,God,E036,Gen 1:1
,godly,E130,
,Gog,ecf7,Ezek 38:2
,Goiim,ede2,Gen 14:1
,Golan,e468,Duet 4:43
,gold,Eb2a,
,Golgotha,E34B,Matt 27:33
,Goliath,e462,1 Sam 21:9
,Gomer,ede3,Gen 10:2
,Gomorrah,EA7A,Gen 10:19
,gong,ebe5,
,good,E096,
,good_news,E22b,
,Goshen,efbf,Gen 47:1
,gospel,E22B,
,governor,E0a3,
,Goyim,e44c,Josh 12:23
,grace,E01F,
,grain,E279,
,grape,ecf4,
,grass,ea33,
,grateful,E20E,
,gratitude,E20e,
,grave,E178,
,great,e14a,
,Greece,E345,Acts 20:3
,greed,EA94,
,green,Ecd1,
,greeting,E051,
,grieve,E207,
,grind,E83D,
,groom,E013,
,ground,E153,
,ground_soil,E15b,
,grow,E154,
,growth,E154,
,guard,E0c1,
,guilt,EA84,
,guilty,EA84,
,Guni,efc1,Num 26:48
,Hadad,efa2,Gen 25:15
,Hadar,e1af,Gen 36:39
